"Applied filters:
Location type is Country
Dim1 type is Residence Area Type
LANGUAGE_CODE is en
IndicatorCode is PHE_HHAIR_PROP_POP_CLEAN_FUELS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,AGO,Angola,Year,2023,TRUE,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,50.20,,,27.2,,71.6,50.2 [27.2-71.6],,,EN,2025-05-02
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,AGO,Angola,Year,2023,TRUE,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,75.00,,,43.6,,94,75.0 [43.6-94.0],,,EN,2025-05-02
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,AGO,Angola,Year,2023,TRUE,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,8.40,,,0.6,,30.01,8.4 [0.6-30.0],,,EN,2025-05-02
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,AGO,Angola,Year,2022,FALSE,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,50.00,,,27.9,,70,50.0 [27.9-70.0],,,EN,2025-05-02
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,AGO,Angola,Year,2022,FALSE,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,75.40,,,46.7,,93.8,75.4 [46.7-93.8],,,EN,2025-05-02
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,AGO,Angola,Year,2022,FALSE,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,8.30,,,0.8,,27.7,8.3 [0.8-27.7],,,EN,2025-05-02
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,AGO,Angola,Year,2021,FALSE,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,49.80,,,29.1,,69.3,49.8 [29.1-69.3],,,EN,2025-05-02
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,AGO,Angola,Year,2021,FALSE,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,75.70,,,49.5,,93.1,75.7 [49.5-93.1],,,EN,2025-05-02
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,AGO,Angola,Year,2021,FALSE,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,8.20,,,1.1,,24.9,8.2 [1.1-24.9],,,EN,2025-05-02
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,AGO,Angola,Year,2020,FALSE,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,49.40,,,30.9,,68.3,49.4 [30.9-68.3],,,EN,2025-05-02
