iso,Country_Name,Region,Figure_Region,1
,,,,0
abw,Aruba,Latin America,Central and South America,1
,,,,0
afg,Afghanistan,Asia,Other Asia,1
,,,,0
ago,Angola,Africa,Africa,1
,,,,0
alb,Albania,Eastern Europe,Eastern Europe,1
,,,,0
ant,Netherlands Antilles,Latin America,Central and South America,1
,,,,0
are,United Arab Emirates,Middle East,Middle East,1
,,,,0
arg,Argentina,Latin America,Central and South America,1
,,,,0
arm,Armenia,FSU,FSU,1
,,,,0
arm,Armenia,FSU,FSU,1
,,,,0
asm,American Samoa,Islands,Other Asia,1
,,,,0
atg,Antigua and Barbuda,Latin America,Central and South America,1
,,,,0
aus,Australia,OtherOECD90,South East Asia and Aust/NZ,1
,,,,0
aut,Austria,Western Europe,Western Europe,1
,,,,0
aze,Azerbaijan,FSU,FSU,1
,,,,0
aze,Azerbaijan,FSU,FSU,1
,,,,0
bdi,Burundi,Africa,Africa,1
,,,,0
bel,Belgium,Western Europe,Western Europe,1
,,,,0
ben,Benin,Africa,Africa,1
,,,,0
bfa,Burkina Faso,Africa,Africa,1
,,,,0
bgd,Bangladesh,Asia,Other Asia,1
,,,,0
bgr,Bulgaria,Eastern Europe,Eastern Europe,1
,,,,0
bhr,Bahrain,Middle East,Middle East,1
,,,,0
bhs,Bahamas,Latin America,Central and South America,1
,,,,0
bih,Bosnia and Herzegovina,Eastern Europe,Eastern Europe,1
,,,,0
bih,Bosnia and Herzegovina,Eastern Europe,Eastern Europe,1
,,,,0
blr,Belarus,FSU,FSU,1
,,,,0
blr,Belarus,FSU,FSU,1
,,,,0
blx,Belgium-Luxembourg ,Western Europe,Western Europe,1
,,,,0
blz,Belize,Latin America,Central and South America,1
,,,,0
bmu,Bermuda,Latin America,Central and South America,1
,,,,0
bol,Bolivia,Latin America,Central and South America,1
,,,,0
bra,Brazil,Latin America,Central and South America,1
,,,,0
brb,Barbados,Latin America,Central and South America,1
,,,,0
brn,Brunei Darussalam,Asia,South East Asia and Aust/NZ,1
,,,,0
btn,Bhutan,Asia,Other Asia,1
,,,,0
bwa,Botswana,Africa,Africa,1
,,,,0
caf,Central African Republic,Africa,Africa,1
,,,,0
can,Canada,OtherOECD90,North America,1
,,,,0
che,Switzerland,Western Europe,Western Europe,1
,,,,0
chl,Chile,Latin America,Central and South America,1
,,,,0
chn,China,Asia,China,1
,,,,0
civ,Cote dIvoire,Africa,Africa,1
,,,,0
cmr,Cameroon,Africa,Africa,1
,,,,0
cod,Democratic Republic of Congo,Africa,Africa,1
,,,,0
cod,Democratic Republic of Congo,Africa,Africa,1
,,,,0
